貸借取引対象銘柄一覧,20251219,,,,,,,,,
貸借申込日,コード,銘柄名,貸借銘柄区分（東証）,貸借銘柄区分（ＣＸＪ）,貸借銘柄区分（ＪＮＸ）,貸借銘柄区分（ＯＤＸ）,貸借銘柄区分（ＪＡＸ）,貸借銘柄区分（名証）,貸借銘柄区分（福証）,貸借銘柄区分（札証）
20251222,1997,暁飯島工業,2,2,2,2,2,0,0,0
20251222,1999,サイタＨＤ,0,0,0,0,0,0,2,0
20251222,2001,ニップン,1,1,1,1,1,0,0,0
20251222,2002,日清製粉グループ本社,1,1,1,1,1,0,0,0
20251222,2003,日東富士製粉,1,2,1,1,1,0,0,0
20251222,2004,昭和産業,1,1,1,1,1,0,0,0
20251222,2009,鳥越製粉,2,2,2,2,2,0,1,0
20251222,200A,日経半導体株ＥＴＦ,1,2,2,2,2,0,0,0
20251222,2011,ＳＭＤＡＭ日本高配当,1,2,2,2,2,0,0,0
20251222,2012,ｉＳ米国債０３月,1,2,2,2,2,0,0,0
20251222,2013,ｉＳ米国高配当株,1,2,2,2,2,0,0,0
20251222,2014,ｉＳ米国連続増配株,1,2,2,2,2,0,0,0
20251222,2015,ｉＦ米国債７１０Ｈ無,1,2,2,2,2,0,0,0
20251222,2016,ｉＦ米国債７１０Ｈ有,1,2,2,2,2,0,0,0
20251222,2017,ｉＦＪＰＸプラ１５０,1,2,2,2,2,0,0,0
20251222,2018,ＧＸＵＳリート２０,1,2,2,2,2,0,0,0
20251222,2019,ＧＸ優先証券隔月,1,2,2,2,2,0,0,0
20251222,201A,ｉＳＮＩＦＴＹ５０,1,2,2,2,2,0,0,0
20251222,202A,豆蔵,2,2,2,2,2,0,0,0
20251222,2031,ハンセンダブルＥＴＮ,2,2,0,0,0,0,0,0
20251222,2032,ハンセン・ベアＥＴＮ,2,2,0,0,0,0,0,0
20251222,2033,ＫＯＳＰＩブルＥＴＮ,2,2,0,0,0,0,0,0
